,buffer,area,lal,circom,shapeix,rectan,fractal,orient,freq,car,gini_area,gini_car,Reach
0,10,0.27497435897435896,0.2316376107459274,0.24448604215837877,0.2512968299711816,0.17689361369498946,0.2909698996655518,0.727782596126048,0.7309351004522983,0.5576341127922971,0.642551716167803,0.648335015136226,0.4657994867710822
1,15,0.3443076923076923,0.297227779365533,0.2466834866118662,0.2578839028406752,0.20808254514187446,0.2951064953353283,0.707603353570396,0.7309351004522983,0.6318569463548831,0.6394314110713047,0.6784813319878911,
2,20,0.3837948717948718,0.3373821091740497,0.2592170586799056,0.2754219843557019,0.2295786758383491,0.3103326879070586,0.6969644405897658,0.7310928789313138,0.6356533700137551,0.6441696521437652,0.6600655903128153,
3,25,0.40717948717948715,0.3575307230637325,0.2733783673801579,0.2899135446685879,0.24419604471195186,0.31957401865868684,0.6875397513732292,0.7311980645839907,0.6262448418156809,0.649427944065642,0.6510469223007064,
4,30,0.4266666666666667,0.37017719348385253,0.2829006266786034,0.300370522848909,0.2510748065348237,0.3239746523499384,0.6808326105810928,0.7313558430630062,0.6165612104539202,0.6542239685658153,0.6506054490413723,
5,40,0.45394871794871794,0.3881823378108031,0.2985268983478473,0.315603128859613,0.258969749081529,0.3328639324062665,0.6768430182133565,0.7315662143683601,0.6063823933975241,0.6592511267768404,0.6549571140262361,
6,50,0.47405128205128205,0.3963275221491855,0.30861886546756734,0.32540139975298477,0.262878136480888,0.33735257877134306,0.6745302110436542,0.7316188071946986,0.599009628610729,0.6625447821564775,0.6521190716448032,0.46500309707105564
7,60,0.4888205128205128,0.399757073449557,0.3164320013021893,0.3333058871963771,0.26733369811615726,0.34096109839816935,0.6725643249494073,0.7318291785000526,0.5963686382393397,0.670692245464001,0.650100908173562,
8,70,0.49538461538461537,0.401686196056016,0.32082689020916416,0.3386578839028407,0.27038224028765734,0.3431614152437951,0.671176640647586,0.731986956979068,0.593617606602476,0.6701144111868717,0.6471997981836529,
9,80,0.5014358974358974,0.40147184909974276,0.32571010010580287,0.34178674351585014,0.27311811146720866,0.3463298715014962,0.6708297195721307,0.7318817713263911,0.5921320495185695,0.6754882699641743,0.6453077699293642,
10,90,0.5061538461538462,0.4031151757645041,0.3300236021811671,0.345821325648415,0.2753068084108497,0.34782608695652173,0.671176640647586,0.7317765856737141,0.5913617606602476,0.6763550213798682,0.6438572149344097,
11,100,0.5090256410256411,0.4027579308373821,0.33189549930821194,0.34746809386578836,0.2760884858907215,0.3488822390424221,0.6711188204683435,0.7317765856737141,0.5908115543328748,0.6758927539581648,0.6423435923309788,0.4643836828599239
12,150,0.5114871794871795,0.40047156330380107,0.3395458614796126,0.35446685878962536,0.28054404752599077,0.3516986446048231,0.6704249783174328,0.7317239928473757,0.5887757909215956,0.6642782849878655,0.6378657921291625,
13,200,0.504,0.3976850528722492,0.34394075038658745,0.35808974886784684,0.28218557023372154,0.3539869741242739,0.6713501011853137,0.7316188071946986,0.5882255845942228,0.6524904657344274,0.6369197780020182,
14,300,0.5007179487179487,0.38453843955415834,0.34540571335557907,0.36055990119390696,0.28421793168138826,0.35469107551487417,0.6726221451286499,0.7317765856737141,0.5874552957359009,0.6411071304749798,0.6340186680121089,
